GUT_GENOME000159	s__UBA1191 sp900066305	species__UBA1191 sp900066305	species	UBA1191 sp900066305	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305
GUT_GENOME154717	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME153357	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME274656	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME007689	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME266422	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME118053	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME250711	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME237968	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME276157	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME018901	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME001115	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME275268	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME233756	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME275677	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME239010	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME237646	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME226843	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME271131	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME202978	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME268604	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME248640	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME234772	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME011823	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME011925	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME099906	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME261403	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME077406	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME244533	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME161579	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME121765	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME021073	s__Eubacterium_G ventriosum	species__Eubacterium_G ventriosum	species	Eubacterium_G ventriosum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum
GUT_GENOME001312	s__Eubacterium maltosivorans	species__Eubacterium maltosivorans	species	Eubacterium maltosivorans	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium maltosivorans
GUT_GENOME155834	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME123731	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME125282	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME001401	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME019829	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME034273	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME009633	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME098228	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME145997	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME286858	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME263208	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME007562	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME184858	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME156524	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME030279	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME001479	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME016859	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME001811	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME286783	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME007933	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME035266	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME032749	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME245450	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME017243	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME248756	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME007738	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME125373	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME190290	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME008652	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME077482	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME036108	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME000985	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME022279	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME001240	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME019809	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME096730	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME045335	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME140067	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME098614	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME036059	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME010269	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME286024	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME111444	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME286842	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME213821	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME283861	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME035871	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME036644	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME099060	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME037814	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME082725	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME016776	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME140098	s__CAG-81 sp900066785	species__CAG-81 sp900066785	species	CAG-81 sp900066785	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785
GUT_GENOME187703	s__TF01-11 sp001414325	species__TF01-11 sp001414325	species	TF01-11 sp001414325	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325
GUT_GENOME001578	s__TF01-11 sp001414325	species__TF01-11 sp001414325	species	TF01-11 sp001414325	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325
GUT_GENOME016856	s__TF01-11 sp001414325	species__TF01-11 sp001414325	species	TF01-11 sp001414325	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325
GUT_GENOME033308	s__TF01-11 sp001414325	species__TF01-11 sp001414325	species	TF01-11 sp001414325	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325
GUT_GENOME074957	s__TF01-11 sp001414325	species__TF01-11 sp001414325	species	TF01-11 sp001414325	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325
GUT_GENOME214403	s__TF01-11 sp001414325	species__TF01-11 sp001414325	species	TF01-11 sp001414325	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325
